nb_calls,reason,year,month,day,weekday,hour
2,TT,2010,1,6,Wednesday,15
2,NE,2010,1,6,Wednesday,16
10,NW,2010,1,6,Wednesday,16
5,PE,2010,1,6,Wednesday,16
70,PS,2010,1,6,Wednesday,16
1,TT,2010,1,6,Wednesday,16
5,NE,2010,1,6,Wednesday,17
7,NW,2010,1,6,Wednesday,17
68,PS,2010,1,6,Wednesday,17
1,TT,2010,1,6,Wednesday,17
1,IN,2010,1,6,Wednesday,18
3,NE,2010,1,6,Wednesday,18
9,NW,2010,1,6,Wednesday,18
49,PS,2010,1,6,Wednesday,18
2,NE,2010,1,6,Wednesday,19
11,NW,2010,1,6,Wednesday,19
63,PS,2010,1,6,Wednesday,19
2,TT,2010,1,6,Wednesday,19
1,IN,2010,1,6,Wednesday,20
1,NE,2010,1,6,Wednesday,20
4,NW,2010,1,6,Wednesday,20
1,PE,2010,1,6,Wednesday,20
55,PS,2010,1,6,Wednesday,20
2,TT,2010,1,6,Wednesday,20
4,NE,2010,1,6,Wednesday,21
9,NW,2010,1,6,Wednesday,21
4,PE,2010,1,6,Wednesday,21
34,PS,2010,1,6,Wednesday,21
1,IN,2010,1,6,Wednesday,22
4,NE,2010,1,6,Wednesday,22
7,NW,2010,1,6,Wednesday,22
45,PS,2010,1,6,Wednesday,22
2,TT,2010,1,6,Wednesday,22
1,NE,2010,1,6,Wednesday,23
2,NW,2010,1,6,Wednesday,23
35,PS,2010,1,6,Wednesday,23
4,IN,2010,1,7,Thursday,0
4,NE,2010,1,7,Thursday,0
18,NW,2010,1,7,Thursday,0
78,PS,2010,1,7,Thursday,0
2,TT,2010,1,7,Thursday,0
1,NW,2010,1,7,Thursday,1
1,PS,2010,1,7,Thursday,4
3,PS,2010,1,7,Thursday,5
3,PS,2010,1,7,Thursday,6
29,PS,2010,1,7,Thursday,7
1,IN,2010,1,7,Thursday,8
3,NE,2010,1,7,Thursday,8
44,NW,2010,1,7,Thursday,8
54,PS,2010,1,7,Thursday,8
1,TT,2010,1,7,Thursday,8
10,NE,2010,1,7,Thursday,9
11,NW,2010,1,7,Thursday,9
1,PE,2010,1,7,Thursday,9
94,PS,2010,1,7,Thursday,9
7,TT,2010,1,7,Thursday,9
5,IN,2010,1,7,Thursday,10
11,NE,2010,1,7,Thursday,10
8,NW,2010,1,7,Thursday,10
1,PE,2010,1,7,Thursday,10
91,PS,2010,1,7,Thursday,10
3,TT,2010,1,7,Thursday,10
3,IN,2010,1,7,Thursday,11
14,NE,2010,1,7,Thursday,11
11,NW,2010,1,7,Thursday,11
1,PE,2010,1,7,Thursday,11
77,PS,2010,1,7,Thursday,11
2,TT,2010,1,7,Thursday,11
1,IN,2010,1,7,Thursday,13
1,NE,2010,1,7,Thursday,13
10,NW,2010,1,7,Thursday,13
62,PS,2010,1,7,Thursday,13
1,TT,2010,1,7,Thursday,13
12,NE,2010,1,7,Thursday,14
