nb_calls,reason,year,month,day,weekday,hour
14,PS,2010,1,9,Saturday,23
1,PS,2010,1,9,Saturday,23
45,PS,2010,1,10,Sunday,0
20,PS,2010,1,10,Sunday,0
54,PS,2010,1,10,Sunday,0
3,NW,2010,1,10,Sunday,1
1,PS,2010,1,10,Sunday,2
1,PS,2010,1,10,Sunday,3
2,NW,2010,1,10,Sunday,6
23,NW,2010,1,10,Sunday,7
8,PS,2010,1,10,Sunday,7
5,PS,2010,1,10,Sunday,7
54,PS,2010,1,10,Sunday,8
16,PS,2010,1,10,Sunday,8
24,PS,2010,1,10,Sunday,8
29,PS,2010,1,10,Sunday,9
33,PE,2010,1,10,Sunday,9
51,PS,2010,1,10,Sunday,9
28,NW,2010,1,10,Sunday,10
51,PS,2010,1,10,Sunday,10
78,PS,2010,1,10,Sunday,10
45,NW,2010,1,10,Sunday,11
37,PS,2010,1,10,Sunday,11
51,PS,2010,1,10,Sunday,11
48,NE,2010,1,10,Sunday,13
47,PS,2010,1,10,Sunday,13
77,PS,2010,1,10,Sunday,13
41,NE,2010,1,10,Sunday,14
37,PS,2010,1,10,Sunday,14
78,PS,2010,1,10,Sunday,14
65,NW,2010,1,10,Sunday,15
31,PS,2010,1,10,Sunday,15
67,PS,2010,1,10,Sunday,15
201,NW,2010,1,10,Sunday,16
31,PS,2010,1,10,Sunday,16
78,PS,2010,1,10,Sunday,16
120,NW,2010,1,10,Sunday,17
26,PS,2010,1,10,Sunday,17
35,PS,2010,1,10,Sunday,17
71,NW,2010,1,10,Sunday,18
19,PS,2010,1,10,Sunday,18
26,PS,2010,1,10,Sunday,18
59,PS,2010,1,10,Sunday,19
7,PS,2010,1,10,Sunday,19
7,PS,2010,1,10,Sunday,19
57,PS,2010,1,10,Sunday,20
3,PS,2010,1,10,Sunday,20
2,PS,2010,1,10,Sunday,20
35,PS,2010,1,10,Sunday,21
7,PS,2010,1,10,Sunday,21
8,PS,2010,1,10,Sunday,21
17,NW,2010,1,10,Sunday,22
4,TT,2010,1,10,Sunday,22
1,PS,2010,1,10,Sunday,22
19,PS,2010,1,10,Sunday,23
4,PS,2010,1,10,Sunday,23
48,NW,2010,1,13,Wednesday,0
36,PS,2010,1,13,Wednesday,0
42,PS,2010,1,13,Wednesday,0
8,PS,2010,1,13,Wednesday,3
10,PS,2010,1,13,Wednesday,4
11,PS,2010,1,13,Wednesday,5
2,PS,2010,1,13,Wednesday,5
2,TT,2010,1,13,Wednesday,5
13,NW,2010,1,13,Wednesday,6
5,TT,2010,1,13,Wednesday,6
5,PS,2010,1,13,Wednesday,6
22,NW,2010,1,13,Wednesday,7
12,PS,2010,1,13,Wednesday,7
23,PS,2010,1,13,Wednesday,7
107,PS,2010,1,13,Wednesday,8
27,PS,2010,1,13,Wednesday,8
36,PS,2010,1,13,Wednesday,8
88,PS,2010,1,13,Wednesday,9
18,PS,2010,1,13,Wednesday,9
24,PS,2010,1,13,Wednesday,9
21,PS,2010,1,13,Wednesday,11
16,PS,2010,1,13,Wednesday,11
31,PS,2010,1,13,Wednesday,11
27,NE,2010,1,13,Wednesday,13
35,PS,2010,1,13,Wednesday,13
59,PS,2010,1,13,Wednesday,13
46,NW,2010,1,13,Wednesday,14
41,PS,2010,1,13,Wednesday,14
88,PS,2010,1,13,Wednesday,14
40,NW,2010,1,13,Wednesday,15
32,PS,2010,1,13,Wednesday,15
93,PS,2010,1,13,Wednesday,15
32,NW,2010,1,13,Wednesday,16
39,PS,2010,1,13,Wednesday,16
56,PS,2010,1,13,Wednesday,16
30,NW,2010,1,13,Wednesday,17
27,PS,2010,1,13,Wednesday,17
42,PS,2010,1,13,Wednesday,17
41,PS,2010,1,13,Wednesday,18
25,PS,2010,1,13,Wednesday,18
52,PS,2010,1,13,Wednesday,18
32,PS,2010,1,13,Wednesday,19
22,PS,2010,1,13,Wednesday,19
51,PS,2010,1,13,Wednesday,19
35,PS,2010,1,13,Wednesday,20
9,PS,2010,1,13,Wednesday,20
22,PS,2010,1,13,Wednesday,20
32,PS,2010,1,13,Wednesday,21
7,PS,2010,1,13,Wednesday,21
20,PS,2010,1,13,Wednesday,21
23,PS,2010,1,13,Wednesday,22
19,PS,2010,1,13,Wednesday,22
24,PS,2010,1,13,Wednesday,22
15,PS,2010,1,13,Wednesday,23
11,PS,2010,1,13,Wednesday,23
23,PS,2010,1,13,Wednesday,23
43,NW,2010,1,14,Thursday,0
26,PS,2010,1,14,Thursday,0
45,PS,2010,1,14,Thursday,0
5,PS,2010,1,14,Thursday,5
2,PS,2010,1,14,Thursday,6
17,PS,2010,1,14,Thursday,7
5,PS,2010,1,14,Thursday,7
7,PS,2010,1,14,Thursday,7
