year,month,day,hour,reason
2016,11,30,2,AA
2016,11,30,3,AA
2016,11,30,4,AA
2016,11,30,5,AA
2016,11,30,6,AA
2016,11,30,7,AA
2016,11,30,8,AA
2016,11,30,9,AA
2016,11,30,10,AA
2016,11,30,11,AA
2016,11,30,12,AA
2016,11,30,13,AA
2016,11,30,14,AA
2016,11,30,15,AA
2016,11,30,16,AA
2016,11,30,17,AA
2016,11,30,18,AA
2016,11,30,19,AA
2016,11,30,20,AA
2016,11,30,21,AA
2016,11,30,22,AA
2016,11,30,23,AA
2016,11,1,0,AA
2016,11,1,1,AA
2016,11,1,2,AA
2016,11,1,3,AA
2016,11,1,4,AA
2016,11,1,5,AA
2016,11,1,6,AA
2016,11,1,7,AA
2016,11,1,8,AA
2016,11,1,9,AA
2016,11,1,10,AA
2016,11,1,11,AA
2016,11,1,12,AA
2016,11,1,13,AA
2016,11,1,14,AA
2016,11,1,15,AA
2016,11,1,16,AA
2016,11,1,17,AA
2016,11,1,18,AA
2016,11,1,19,AA
2016,11,1,20,AA
2016,11,1,21,AA
2016,11,1,22,AA
2016,11,1,23,AA
2016,11,2,0,AA
2016,11,2,1,AA
2016,11,2,2,AA
2016,11,2,3,AA
2016,11,2,4,AA
2016,11,2,5,AA
2016,11,2,6,AA
2016,11,2,7,AA
2016,11,2,8,AA
2016,11,2,9,AA
2016,11,2,10,AA
2016,11,2,11,AA
2016,11,2,12,AA
2016,11,2,13,AA
2016,11,2,14,AA
2016,11,2,15,AA
2016,11,2,16,AA
2016,11,2,17,AA
2016,11,2,18,AA
2016,11,2,19,AA
2016,11,2,20,AA
2016,11,2,21,AA
2016,11,2,22,AA
2016,11,2,23,AA
2016,11,3,0,AA
2016,11,3,1,AA
2016,11,3,2,AA
2016,11,3,3,AA
2016,11,3,4,AA
2016,11,3,5,AA
2016,11,3,6,AA
2016,11,3,7,AA
2016,11,3,8,AA
2016,11,3,9,AA
2016,11,3,10,AA
2016,11,3,11,AA
2016,11,3,12,AA
2016,11,3,13,AA
2016,11,3,14,AA
2016,11,3,15,AA
2016,11,3,16,AA
2016,11,3,17,AA
2016,11,3,18,AA
2016,11,3,19,AA
2016,11,3,20,AA
2016,11,3,21,AA
2016,11,3,22,AA
2016,11,3,23,AA
2016,11,4,0,AA
2016,11,4,1,AA
2016,11,4,2,AA
2016,11,4,3,AA
2016,11,4,4,AA
2016,11,4,5,AA
2016,11,4,6,AA
2016,11,4,7,AA
2016,11,4,8,AA
2016,11,4,9,AA
2016,11,4,10,AA
2016,11,4,11,AA
2016,11,4,12,AA
2016,11,4,13,AA
2016,11,4,14,AA
2016,11,4,15,AA
2016,11,4,16,AA
2016,11,4,17,AA
