year,month,day,weekday,hour
2016,12,24,Saturday,2
2016,12,24,Saturday,3
2016,12,24,Saturday,4
2016,12,24,Saturday,5
2016,12,24,Saturday,6
2016,12,24,Saturday,7
2016,12,24,Saturday,8
2016,12,24,Saturday,9
2016,12,24,Saturday,10
2016,12,24,Saturday,11
2016,12,24,Saturday,12
2016,12,24,Saturday,13
2016,12,24,Saturday,14
2016,12,24,Saturday,15
2016,12,24,Saturday,16
2016,12,24,Saturday,17
2016,12,24,Saturday,18
2016,12,24,Saturday,19
2016,12,24,Saturday,20
2016,12,24,Saturday,21
2016,12,24,Saturday,22
2016,12,24,Saturday,23
2016,12,25,Sunday,0
2016,12,25,Sunday,1
2016,12,25,Sunday,2
2016,12,25,Sunday,3
2016,12,25,Sunday,4
2016,12,25,Sunday,5
2016,12,25,Sunday,6
2016,12,25,Sunday,7
2016,12,25,Sunday,8
2016,12,25,Sunday,9
2016,12,25,Sunday,10
2016,12,25,Sunday,11
2016,12,25,Sunday,12
2016,12,25,Sunday,13
2016,12,25,Sunday,14
2016,12,25,Sunday,15
2016,12,25,Sunday,16
2016,12,25,Sunday,17
2016,12,25,Sunday,18
2016,12,25,Sunday,19
2016,12,25,Sunday,20
2016,12,25,Sunday,21
2016,12,25,Sunday,22
2016,12,25,Sunday,23
2016,12,26,Monday,0
2016,12,26,Monday,1
2016,12,26,Monday,2
2016,12,26,Monday,3
2016,12,26,Monday,4
2016,12,26,Monday,5
2016,12,26,Monday,6
2016,12,26,Monday,7
2016,12,26,Monday,8
2016,12,26,Monday,9
2016,12,26,Monday,10
2016,12,26,Monday,11
2016,12,26,Monday,12
2016,12,26,Monday,13
2016,12,26,Monday,14
2016,12,26,Monday,15
2016,12,26,Monday,16
2016,12,26,Monday,17
2016,12,26,Monday,18
2016,12,26,Monday,19
2016,12,26,Monday,20
2016,12,26,Monday,21
2016,12,26,Monday,22
2016,12,26,Monday,23
2016,12,27,Tuesday,0
